Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season,Lon,Lat
2,Kyle Mackey,SR,D,"Derby, New York",Air Force,derby new york,"Air Force: 02 Kyle Mackey - Derby, New York (SR-D)",20172018,-78.97972709999999,42.6864471
4,Phil Boje,SR,D,"Shoreview, Minnesota",Air Force,shoreview minnesota,"Air Force: 04 Phil Boje - Shoreview, Minnesota (SR-D)",20172018,-93.14716670000001,45.0791325
9,Trevor Stone,SO,F,"Pleasant Plains, Illinois",Air Force,pleasant plains illinois,"Air Force: 09 Trevor Stone - Pleasant Plains, Illinois (SO-F)",20172018,-89.9212211,39.8728269
14,Ben Kucera,SR,F,"Leawood, Kansas",Air Force,leawood kansas,"Air Force: 14 Ben Kucera - Leawood, Kansas (SR-F)",20172018,-94.6169012,38.966673
15,Evan Giesler,JR,F,"Naperville, Illinois",Air Force,naperville illinois,"Air Force: 15 Evan Giesler - Naperville, Illinois (JR-F)",20172018,-88.1535352,41.7508391
17,Joe Tyran,SO,D,"Wadsworth, Illinois",Air Force,wadsworth illinois,"Air Force: 17 Joe Tyran - Wadsworth, Illinois (SO-D)",20172018,-87.92396509999999,42.4286321
18,Evan Feno,JR,F,"Morrison, Colorado",Air Force,morrison colorado,"Air Force: 18 Evan Feno - Morrison, Colorado (JR-F)",20172018,-105.1910996,39.6535988
19,Issac Theisen,FR,F,"Monroe, Michigan",Air Force,monroe michigan,"Air Force: 19 Issac Theisen - Monroe, Michigan (FR-F)",20172018,-83.3977101,41.9164343
21,Matt Pulver,SO,F,"Chippewa Falls, Wisconsin",Air Force,chippewa falls wisconsin,"Air Force: 21 Matt Pulver - Chippewa Falls, Wisconsin (SO-F)",20172018,-91.39293479999999,44.9369054
22,Pierce Pluemer,SO,F,"Phillips, Wisconsin",Air Force,phillips wisconsin,"Air Force: 22 Pierce Pluemer - Phillips, Wisconsin (SO-F)",20172018,-90.4004296,45.6966257
23,Dylan Abood,SR,D,"Centennial, Colorado",Air Force,centennial colorado,"Air Force: 23 Dylan Abood - Centennial, Colorado (SR-D)",20172018,-104.8771726,39.5807452
25,Alex Falconer,FR,F,"Kohler, Wisconsin",Air Force,kohler wisconsin,"Air Force: 25 Alex Falconer - Kohler, Wisconsin (FR-F)",20172018,-87.7817541,43.7391616
26,Erich Jaeger,SO,F,"Couer d'Alena, Idaho",Air Force,couer dalena idaho,"Air Force: 26 Erich Jaeger - Couer d'Alena, Idaho (SO-F)",20172018,-116.7804664,47.6776832
27,Erik Baskin,SR,F,"Minnetonka, Minnesota",Air Force,minnetonka minnesota,"Air Force: 27 Erik Baskin - Minnetonka, Minnesota (SR-F)",20172018,-93.4687489,44.9211836
30,Erik Anderson,FR,G,"Chanhassen, Minnesota",Air Force,chanhassen minnesota,"Air Force: 30 Erik Anderson - Chanhassen, Minnesota (FR-G)",20172018,-93.53231029999999,44.86196450000001
31,Zack LaRocque,FR,G,"Arvada, Colorado",Air Force,arvada colorado,"Air Force: 31 Zack LaRocque - Arvada, Colorado (FR-G)",20172018,-105.0874842,39.8027644
38,Will Ulrich,FR,G,"Birmingham, Michigan",Air Force,birmingham michigan,"Air Force: 38 Will Ulrich - Birmingham, Michigan (FR-G)",20172018,-83.21131919999999,42.5467012
42,Walker Sommer,FR,F,"Avon, Ohio",Air Force,avon ohio,"Air Force: 42 Walker Sommer - Avon, Ohio (FR-F)",20172018,-82.03542250000001,41.4517093
44,Billy Christopoulos,JR,G,"Raleigh, North Carolina",Air Force,raleigh north carolina,"Air Force: 44 Billy Christopoulos - Raleigh, North Carolina (JR-G)",20172018,-78.6381787,35.7795897
52,Jonathan Kopacka,SR,D,"Lapeer, Michigan",Air Force,lapeer michigan,"Air Force: 52 Jonathan Kopacka - Lapeer, Michigan (SR-D)",20172018,-83.31883409999999,43.0514161
74,Zack Mirageas,FR,D,"Newburyport, Massachusetts",Air Force,newburyport massachusetts,"Air Force: 74 Zack Mirageas - Newburyport, Massachusetts (FR-D)",20172018,-70.87727509999999,42.8125913
2,Cam Knight,JR,D,"North Reading, Massachusetts",Alabama-Huntsville,north reading massachusetts,"Alabama-Huntsville: 02 Cam Knight - North Reading, Massachusetts (JR-D)",20172018,-71.0786653,42.5750939
4,Connor James,SO,D,"Wainwright, Alberta",Alabama-Huntsville,wainwright alberta,"Alabama-Huntsville: 04 Connor James - Wainwright, Alberta (SO-D)",20172018,-110.8504696,52.83307
5,Cody Champagne,SR,D,"Brookfield, Connecticut",Alabama-Huntsville,brookfield connecticut,"Alabama-Huntsville: 05 Cody Champagne - Brookfield, Connecticut (SR-D)",20172018,-73.4095652,41.4825947
6,Sean Rappleyea,SO,D,"Sayreville, New Jersey",Alabama-Huntsville,sayreville new jersey,"Alabama-Huntsville: 06 Sean Rappleyea - Sayreville, New Jersey (SO-D)",20172018,-74.360846,40.45940210000001
7,Max McHugh,SR,F,"Seattle, Washington",Alabama-Huntsville,seattle washington,"Alabama-Huntsville: 07 Max McHugh - Seattle, Washington (SR-F)",20172018,-122.3320708,47.6062095
8,John Teets,JR,D,"Fairbanks, Alaska",Alabama-Huntsville,fairbanks alaska,"Alabama-Huntsville: 08 John Teets - Fairbanks, Alaska (JR-D)",20172018,-147.7163888,64.8377778
9,Christian Rajic,FR,F,"Oakville, Ontario",Alabama-Huntsville,oakville ontario,"Alabama-Huntsville: 09 Christian Rajic - Oakville, Ontario (FR-F)",20172018,-79.6876659,43.467517
10,Andrew Dodson,FR,F,"Milton, Ontario",Alabama-Huntsville,milton ontario,"Alabama-Huntsville: 10 Andrew Dodson - Milton, Ontario (FR-F)",20172018,-79.8774042,43.5182991
11,Levi Wunder,FR,F,"Escanaba, Michigan",Alabama-Huntsville,escanaba michigan,"Alabama-Huntsville: 11 Levi Wunder - Escanaba, Michigan (FR-F)",20172018,-87.06458010000001,45.74524659999999
12,Connor Merkley,FR,F,"Portland, Ontario",Alabama-Huntsville,portland ontario,"Alabama-Huntsville: 12 Connor Merkley - Portland, Ontario (FR-F)",20172018,-76.19294699999999,44.695047
14,Madison Dunn,JR,F,"Calgary, Alberta",Alabama-Huntsville,calgary alberta,"Alabama-Huntsville: 14 Madison Dunn - Calgary, Alberta (JR-F)",20172018,-114.0708459,51.0486151
15,Hans Gorowsky,JR,F,"Lino Lakes, Minnesota",Alabama-Huntsville,lino lakes minnesota,"Alabama-Huntsville: 15 Hans Gorowsky - Lino Lakes, Minnesota (JR-F)",20172018,-93.0888324,45.1602442
16,Connor Wood,FR,F,"Buford, Georgia",Alabama-Huntsville,buford georgia,"Alabama-Huntsville: 16 Connor Wood - Buford, Georgia (FR-F)",20172018,-84.0043513,34.1206564
18,Austin Beaulieu,SO,F,"Coral Springs, Florida",Alabama-Huntsville,coral springs florida,"Alabama-Huntsville: 18 Austin Beaulieu - Coral Springs, Florida (SO-F)",20172018,-80.2706044,26.271192
19,Brandon Salerno,SO,F,"Toronto, Ontario",Alabama-Huntsville,toronto ontario,"Alabama-Huntsville: 19 Brandon Salerno - Toronto, Ontario (SO-F)",20172018,-79.3831843,43.653226
20,Brandon Parker,SR,D,"Faribault, Minnesota",Alabama-Huntsville,faribault minnesota,"Alabama-Huntsville: 20 Brandon Parker - Faribault, Minnesota (SR-D)",20172018,-93.268827,44.2949636
21,Tyler Poulsen,JR,F,"Arvada, Colorado",Alabama-Huntsville,arvada colorado,"Alabama-Huntsville: 21 Tyler Poulsen - Arvada, Colorado (JR-F)",20172018,-105.0874842,39.8027644
22,Jordan Larson,SO,F,"Fort Frances, Ontario",Alabama-Huntsville,fort frances ontario,"Alabama-Huntsville: 22 Jordan Larson - Fort Frances, Ontario (SO-F)",20172018,-93.3955282,48.6099494
24,Brennan Saulnier,SR,F,"Halifax, Nova Scotia",Alabama-Huntsville,halifax nova scotia,"Alabama-Huntsville: 24 Brennan Saulnier - Halifax, Nova Scotia (SR-F)",20172018,-63.5752387,44.64876350000001
25,Adam Wilcox,JR,F,"Alpharetta, Georgia",Alabama-Huntsville,alpharetta georgia,"Alabama-Huntsville: 25 Adam Wilcox - Alpharetta, Georgia (JR-F)",20172018,-84.2940899,34.0753762
26,Josh Kestner,SR,F,"Huntsville, Alabama",Alabama-Huntsville,huntsville alabama,"Alabama-Huntsville: 26 Josh Kestner - Huntsville, Alabama (SR-F)",20172018,-86.5861037,34.7303688
27,Teddy Rotenberger,FR,D,"Huntsville, Alabama",Alabama-Huntsville,huntsville alabama,"Alabama-Huntsville: 27 Teddy Rotenberger - Huntsville, Alabama (FR-D)",20172018,-86.5861037,34.7303688
28,Kurt Gosselin,JR,D,"Brighton, Michigan",Alabama-Huntsville,brighton michigan,"Alabama-Huntsville: 28 Kurt Gosselin - Brighton, Michigan (JR-D)",20172018,-83.7802214,42.5294773
30,Mark Sinclair,FR,G,"Dundas, Ontario",Alabama-Huntsville,dundas ontario,"Alabama-Huntsville: 30 Mark Sinclair - Dundas, Ontario (FR-G)",20172018,-79.9568685,43.26650890000001
32,Jordan Uhelski,SR,G,"Flint, Michigan",Alabama-Huntsville,flint michigan,"Alabama-Huntsville: 32 Jordan Uhelski - Flint, Michigan (SR-G)",20172018,-83.6874562,43.0125274
33,Richard Buri,SR,D,"Nitra, Slovakia",Alabama-Huntsville,nitra slovakia,"Alabama-Huntsville: 33 Richard Buri - Nitra, Slovakia (SR-D)",20172018,18.076376,48.3061414
35,Josh Astorino,FR,G,"Niagara Falls, Ontario",Alabama-Huntsville,niagara falls ontario,"Alabama-Huntsville: 35 Josh Astorino - Niagara Falls, Ontario (FR-G)",20172018,-79.0849436,43.0895577
1,Niko DellaMaggiore,SO,G,"Gilroy, California",Alaska,gilroy california,"Alaska: 01 Niko DellaMaggiore - Gilroy, California (SO-G)",20172018,-121.5682751,37.0057816
2,Jack Weiss,JR,D,"Bloomington, Minnesota",Alaska,bloomington minnesota,"Alaska: 02 Jack Weiss - Bloomington, Minnesota (JR-D)",20172018,-93.2982799,44.840798
5,Nikolas Koberstein,JR,D,"Barrhead, Alberta",Alaska,barrhead alberta,"Alaska: 05 Nikolas Koberstein - Barrhead, Alberta (JR-D)",20172018,-114.4016742,54.1230722
8,Justin Woods,SR,D,"Fairbanks, Alaska",Alaska,fairbanks alaska,"Alaska: 08 Justin Woods - Fairbanks, Alaska (SR-D)",20172018,-147.7163888,64.8377778
9,Justin Young,FR,RW,"Leduc, Alberta",Alaska,leduc alberta,"Alaska: 09 Justin Young - Leduc, Alberta (FR-RW)",20172018,-113.5502218,53.2580126
10,Danny Kiraly,SO,D,"Glendale, Arizona",Alaska,glendale arizona,"Alaska: 10 Danny Kiraly - Glendale, Arizona (SO-D)",20172018,-112.1859866,33.5386523
11,Steven Jandric,FR,LW,"Prince George, British Columbia",Alaska,prince george british columbia,"Alaska: 11 Steven Jandric - Prince George, British Columbia (FR-LW)",20172018,-122.7496693,53.9170641
12,Nick Hinz,SR,D,"Oakdale, Minnesota",Alaska,oakdale minnesota,"Alaska: 12 Nick Hinz - Oakdale, Minnesota (SR-D)",20172018,-92.9649361,44.9630216
13,Austin Vieth,SR,RW,"Marinette, Wisconsin",Alaska,marinette wisconsin,"Alaska: 13 Austin Vieth - Marinette, Wisconsin (SR-RW)",20172018,-87.6306623,45.0999849
14,Brennan Blaszczak,FR,F,"Troy, Michigan",Alaska,troy michigan,"Alaska: 14 Brennan Blaszczak - Troy, Michigan (FR-F)",20172018,-83.1497751,42.6064095
15,Troy Van Tetering,SO,C,"Carstairs, Alberta",Alaska,carstairs alberta,"Alaska: 15 Troy Van Tetering - Carstairs, Alberta (SO-C)",20172018,-114.0985975,51.5649396
16,Tayler Munson,SR,C/RW,"Fairbanks, Alaska",Alaska,fairbanks alaska,"Alaska: 16 Tayler Munson - Fairbanks, Alaska (SR-C/RW)",20172018,-147.7163888,64.8377778
17,Kyle Froese,JR,D,"Traverse City, Michigan",Alaska,traverse city michigan,"Alaska: 17 Kyle Froese - Traverse City, Michigan (JR-D)",20172018,-85.62063169999999,44.7630567
20,Max Newton,FR,F,"Vancouver, British Columbia",Alaska,vancouver british columbia,"Alaska: 20 Max Newton - Vancouver, British Columbia (FR-F)",20172018,-123.1207375,49.2827291
22,Chad Staley,JR,F,"Kennewick, Washington",Alaska,kennewick washington,"Alaska: 22 Chad Staley - Kennewick, Washington (JR-F)",20172018,-119.119948,46.2086683
23,Ryker Leer,JR,F,"Red Deer, Alberta",Alaska,red deer alberta,"Alaska: 23 Ryker Leer - Red Deer, Alberta (JR-F)",20172018,-113.8112386,52.2681118
24,James LaDouce,SO,D,"Saginaw, Michigan",Alaska,saginaw michigan,"Alaska: 24 James LaDouce - Saginaw, Michigan (SO-D)",20172018,-83.9508068,43.4194699
25,Aaron Herdt,SO,F,"Moorhead, Minnesota",Alaska,moorhead minnesota,"Alaska: 25 Aaron Herdt - Moorhead, Minnesota (SO-F)",20172018,-96.76780389999999,46.8737648
26,Tyler Cline,SO,LW,"Blaine, Minnesota",Alaska,blaine minnesota,"Alaska: 26 Tyler Cline - Blaine, Minnesota (SO-LW)",20172018,-93.23494889999999,45.1607987
27,Colton Leiter,SO,C,"Edmonton, Alberta",Alaska,edmonton alberta,"Alaska: 27 Colton Leiter - Edmonton, Alberta (SO-C)",20172018,-113.4909267,53.544389
28,Kylar Hope,SO,RW,"Lashburn, Saskatchewan",Alaska,lashburn saskatchewan,"Alaska: 28 Kylar Hope - Lashburn, Saskatchewan (SO-RW)",20172018,-109.6134782,53.1257489
32,Tristan Thompson,SO,D,"Canmore, Alberta",Alaska,canmore alberta,"Alaska: 32 Tristan Thompson - Canmore, Alberta (SO-D)",20172018,-115.3597129,51.0892428
33,Anton Martinsson,SO,G,"Klippan, Sweden",Alaska,klippan sweden,"Alaska: 33 Anton Martinsson - Klippan, Sweden (SO-G)",20172018,13.1290409,56.1348998
35,Tony Rehm,FR,G,"Sun Prarie, Wisconsin",Alaska,sun prarie wisconsin,"Alaska: 35 Tony Rehm - Sun Prarie, Wisconsin (FR-G)",20172018,-89.2137254,43.1836046
36,Kyle Marino,SO,RW/C,"Niagara Falls, Ontario",Alaska,niagara falls ontario,"Alaska: 36 Kyle Marino - Niagara Falls, Ontario (SO-RW/C)",20172018,-79.0849436,43.0895577
39,Ross Heidt,SO,F,"Red Deer, Alberta",Alaska,red deer alberta,"Alaska: 39 Ross Heidt - Red Deer, Alberta (SO-F)",20172018,-113.8112386,52.2681118
1,Brody Claeys,FR,G,"St. Rose, Ontario",Alaska-Anchorage,st rose ontario,"Alaska-Anchorage: 01 Brody Claeys - St. Rose, Ontario (FR-G)",20172018,-74.907358,45.388496
4,Tanner Johnson,SR,D,"Castlegar, British Columbia",Alaska-Anchorage,castlegar british columbia,"Alaska-Anchorage: 04 Tanner Johnson - Castlegar, British Columbia (SR-D)",20172018,-117.6593341,49.3237408
6,Jarrett Brown,SR,D,"Beaumont, Alberta",Alaska-Anchorage,beaumont alberta,"Alaska-Anchorage: 06 Jarrett Brown - Beaumont, Alberta (SR-D)",20172018,-113.4153735,53.3524256
7,Nolan Nicholas,SO,D,"Thunder Bay, Ontario",Alaska-Anchorage,thunder bay ontario,"Alaska-Anchorage: 07 Nolan Nicholas - Thunder Bay, Ontario (SO-D)",20172018,-89.2476823,48.3808951
8,Drake Glover,FR,F,"Anchorage, Alaska",Alaska-Anchorage,anchorage alaska,"Alaska-Anchorage: 08 Drake Glover - Anchorage, Alaska (FR-F)",20172018,-149.9002778,61.2180556
9,Alec Butcher,SR,F,"Anchorage, Alaska",Alaska-Anchorage,anchorage alaska,"Alaska-Anchorage: 09 Alec Butcher - Anchorage, Alaska (SR-F)",20172018,-149.9002778,61.2180556
10,Joe Sofo,FR,F,"Sylvania, Ohio",Alaska-Anchorage,sylvania ohio,"Alaska-Anchorage: 10 Joe Sofo - Sylvania, Ohio (FR-F)",20172018,-83.7129935,41.7189392
11,Austin Azurdia,SR,F,"Wenatchee, Washington",Alaska-Anchorage,wenatchee washington,"Alaska-Anchorage: 11 Austin Azurdia - Wenatchee, Washington (SR-F)",20172018,-120.3103494,47.4234599
12,Nils Rygaard,JR,F,"Norrkoping, Sweden",Alaska-Anchorage,norrkoping sweden,"Alaska-Anchorage: 12 Nils Rygaard - Norrkoping, Sweden (JR-F)",20172018,16.192421,58.587745
13,Brandon Switzer,FR,F,"Brandon, Manitoba",Alaska-Anchorage,brandon manitoba,"Alaska-Anchorage: 13 Brandon Switzer - Brandon, Manitoba (FR-F)",20172018,-99.9500904,49.848471
17,Matt Anholt,SR,F,"Prince Albert, Saskatchewan",Alaska-Anchorage,prince albert saskatchewan,"Alaska-Anchorage: 17 Matt Anholt - Prince Albert, Saskatchewan (SR-F)",20172018,-105.7530705,53.2033494
18,Tomi Hiekkavirta,SO,D,"Helsinki, Finland",Alaska-Anchorage,helsinki finland,"Alaska-Anchorage: 18 Tomi Hiekkavirta - Helsinki, Finland (SO-D)",20172018,24.9383791,60.16985569999999
19,Alex Jackstadt,JR,F,"Anchorage, Alaska",Alaska-Anchorage,anchorage alaska,"Alaska-Anchorage: 19 Alex Jackstadt - Anchorage, Alaska (JR-F)",20172018,-149.9002778,61.2180556
20,Corey Renwick,SO,F,"Nanoose Bay, British Columbia",Alaska-Anchorage,nanoose bay british columbia,"Alaska-Anchorage: 20 Corey Renwick - Nanoose Bay, British Columbia (SO-F)",20172018,-124.1930531,49.2723165
21,Tad Kozun,SR,F,"Nipawin, Saskatchewan",Alaska-Anchorage,nipawin saskatchewan,"Alaska-Anchorage: 21 Tad Kozun - Nipawin, Saskatchewan (SR-F)",20172018,-104.0130053,53.3623525
22,Cameron Trott,FR,D,"Anmore, British Columbia",Alaska-Anchorage,anmore british columbia,"Alaska-Anchorage: 22 Cameron Trott - Anmore, British Columbia (FR-D)",20172018,-122.8556687,49.314625
23,Eric Sinclair,FR,D,"Kenora, Ontario",Alaska-Anchorage,kenora ontario,"Alaska-Anchorage: 23 Eric Sinclair - Kenora, Ontario (FR-D)",20172018,-94.4893924,49.7670416
27,Jeremiah Luedtke,JR,F,"Lynnwood, Washington",Alaska-Anchorage,lynnwood washington,"Alaska-Anchorage: 27 Jeremiah Luedtke - Lynnwood, Washington (JR-F)",20172018,-122.3151314,47.8209301
28,Jordan Xavier,FR,F,"Calgary, Alberta",Alaska-Anchorage,calgary alberta,"Alaska-Anchorage: 28 Jordan Xavier - Calgary, Alberta (FR-F)",20172018,-114.0708459,51.0486151
29,Trey deGraaf,FR,F,"Red Deer, Alberta",Alaska-Anchorage,red deer alberta,"Alaska-Anchorage: 29 Trey deGraaf - Red Deer, Alberta (FR-F)",20172018,-113.8112386,52.2681118
33,Olivier Mantha,SR,G,"La Tuque, Quebec",Alaska-Anchorage,la tuque quebec,"Alaska-Anchorage: 33 Olivier Mantha - La Tuque, Quebec (SR-G)",20172018,-72.7839311,47.4383405
37,David Trinkberger,SO,D,"Landshut, Germany",Alaska-Anchorage,landshut germany,"Alaska-Anchorage: 37 David Trinkberger - Landshut, Germany (SO-D)",20172018,12.1468532,48.5441917
39,Kristian Stead,FR,G,"Merritt, British Columbia",Alaska-Anchorage,merritt british columbia,"Alaska-Anchorage: 39 Kristian Stead - Merritt, British Columbia (FR-G)",20172018,-120.7862222,50.1113079
41,Aaron McPheters,FR,D,"Anchorage, Alaska",Alaska-Anchorage,anchorage alaska,"Alaska-Anchorage: 41 Aaron McPheters - Anchorage, Alaska (FR-D)",20172018,-149.9002778,61.2180556
67,Jonah Renouf,JR,F,"Mississauga, Ontario",Alaska-Anchorage,mississauga ontario,"Alaska-Anchorage: 67 Jonah Renouf - Mississauga, Ontario (JR-F)",20172018,-79.6441198,43.5890452
74,Cam Amantea,JR,F,"Calgary, Alberta",Alaska-Anchorage,calgary alberta,"Alaska-Anchorage: 74 Cam Amantea - Calgary, Alberta (JR-F)",20172018,-114.0708459,51.0486151
76,Nathan Renouf,JR,F,"Mississauga, Ontario",Alaska-Anchorage,mississauga ontario,"Alaska-Anchorage: 76 Nathan Renouf - Mississauga, Ontario (JR-F)",20172018,-79.6441198,43.5890452
77,Mason Anderson,FR,D,"Anchorage, Alaska",Alaska-Anchorage,anchorage alaska,"Alaska-Anchorage: 77 Mason Anderson - Anchorage, Alaska (FR-D)",20172018,-149.9002778,61.2180556
95,Nicolas Erb-Ekholm,JR,F,"MalmA?, Sweden",Alaska-Anchorage,malma sweden,"Alaska-Anchorage: 95 Nicolas Erb-Ekholm - MalmA?, Sweden (JR-F)",20172018,13.003822,55.604981
1,Zackarias Skog,SO,G,"Goteborg, Sweden",American International,goteborg sweden,"American International: 01 Zackarias Skog - Goteborg, Sweden (SO-G)",20172018,11.97456,57.70887
2,Nicolas Luka,SO,D,"Bartlett, Illinois",American International,bartlett illinois,"American International: 02 Nicolas Luka - Bartlett, Illinois (SO-D)",20172018,-88.1856301,41.9950276
3,Patrik Demel,SO,D,"Ostrava, Czech Republic",American International,ostrava czech republic,"American International: 03 Patrik Demel - Ostrava, Czech Republic (SO-D)",20172018,18.2625243,49.8209226
4,Dominic Racobaldo,SR,D,"Pennsauken, New Jersey",American International,pennsauken new jersey,"American International: 04 Dominic Racobaldo - Pennsauken, New Jersey (SR-D)",20172018,-75.058009,39.9562052
5,Ryan Polin,JR,D,"Holt, Michigan",American International,holt michigan,"American International: 05 Ryan Polin - Holt, Michigan (JR-D)",20172018,-84.5152545,42.6405912
6,Vitaliy Novytskyy,FR,D,"Kharkiv, Ukraine",American International,kharkiv ukraine,"American International: 06 Vitaliy Novytskyy - Kharkiv, Ukraine (FR-D)",20172018,36.230383,49.9935
8,Brennan Kapcheck,FR,D,"Mt. Prospect, Illinois",American International,mt prospect illinois,"American International: 08 Brennan Kapcheck - Mt. Prospect, Illinois (FR-D)",20172018,-87.9372908,42.0664167
9,Ryan Papa,SR,F,"Prospect Heights, Illinois",American International,prospect heights illinois,"American International: 09 Ryan Papa - Prospect Heights, Illinois (SR-F)",20172018,-87.9375694,42.0953049
10,Martin Mellberg,SO,F,"Stockholm, Sweden",American International,stockholm sweden,"American International: 10 Martin Mellberg - Stockholm, Sweden (SO-F)",20172018,18.0685808,59.32932349999999
11,Bryant Christian,SR,F,"Moorhead, Minnesota",American International,moorhead minnesota,"American International: 11 Bryant Christian - Moorhead, Minnesota (SR-F)",20172018,-96.76780389999999,46.8737648
12,Johno May,SR,F,"Mahtomedi, Minnesota",American International,mahtomedi minnesota,"American International: 12 Johno May - Mahtomedi, Minnesota (SR-F)",20172018,-92.95160369999999,45.0696886
13,Hugo Reinhardt,SO,F,"Kungsbacka, Sweden",American International,kungsbacka sweden,"American International: 13 Hugo Reinhardt - Kungsbacka, Sweden (SO-F)",20172018,12.0761928,57.48749189999999
18,Blake Christensen,SO,F,"Coral Springs, Florida",American International,coral springs florida,"American International: 18 Blake Christensen - Coral Springs, Florida (SO-F)",20172018,-80.2706044,26.271192
19,Darius Davidson,FR,F,"Surrey, British Columbia",American International,surrey british columbia,"American International: 19 Darius Davidson - Surrey, British Columbia (FR-F)",20172018,-122.8490125,49.1913466
21,Justin Cole,FR,F,"Bryn Athyn, Pennsylvania",American International,bryn athyn pennsylvania,"American International: 21 Justin Cole - Bryn Athyn, Pennsylvania (FR-F)",20172018,-75.06739379999999,40.1314988
22,Dominik FloriA!n,SO,F,"VlaAsim, Czech Republic",American International,vlaasim czech republic,"American International: 22 Dominik FloriA!n - VlaAsim, Czech Republic (SO-F)",20172018,14.8988102,49.70632759999999
23,Andrew Debrincat,SR,D,"Farmington Hills, Michigan",American International,farmington hills michigan,"American International: 23 Andrew Debrincat - Farmington Hills, Michigan (SR-D)",20172018,-83.3677168,42.4989936
24,Joel Kocur,SO,F,"Edson, Alberta",American International,edson alberta,"American International: 24 Joel Kocur - Edson, Alberta (SO-F)",20172018,-116.4428615,53.5855087
30,Stefano Durante,FR,G,"Brampton, Ontario",American International,brampton ontario,"American International: 30 Stefano Durante - Brampton, Ontario (FR-G)",20172018,-79.7624177,43.7315479
3,Gvido Jansons,FR,D,"GrobiA?a, Latvia",Arizona State,grobiaa latvia,"Arizona State: 03 Gvido Jansons - GrobiA?a, Latvia (FR-D)",20172018,21.166892,56.539632
4,Jacob Wilson,FR,D,"Ballwin, Missouri",Arizona State,ballwin missouri,"Arizona State: 04 Jacob Wilson - Ballwin, Missouri (FR-D)",20172018,-90.54623389999999,38.5950532
8,Joe Lappin,JR,F,"Geneva, Illinois",Arizona State,geneva illinois,"Arizona State: 08 Joe Lappin - Geneva, Illinois (JR-F)",20172018,-88.3053525,41.8875281
10,Tyler Busch,SO,F,"Lloydminster, Alberta",Arizona State,lloydminster alberta,"Arizona State: 10 Tyler Busch - Lloydminster, Alberta (SO-F)",20172018,-110.0061451,53.2779625
11,Jack Rowe,JR,F,"Cary, Illinois",Arizona State,cary illinois,"Arizona State: 11 Jack Rowe - Cary, Illinois (JR-F)",20172018,-88.24768499999999,42.21324990000001
13,Riley Simpson,SO,F,"Edmonton, Alberta",Arizona State,edmonton alberta,"Arizona State: 13 Riley Simpson - Edmonton, Alberta (SO-F)",20172018,-113.4909267,53.544389
14,Gage Mackie,FR,F,"Anchorage, Alaska",Arizona State,anchorage alaska,"Arizona State: 14 Gage Mackie - Anchorage, Alaska (FR-F)",20172018,-149.9002778,61.2180556
15,Gage Hough,SR,F/W,"Omaha, Nebraska",Arizona State,omaha nebraska,"Arizona State: 15 Gage Hough - Omaha, Nebraska (SR-F/W)",20172018,-95.9345034,41.2565369
16,Austin Lemieux,FR,F,"Sewickley, Pennsylvania",Arizona State,sewickley pennsylvania,"Arizona State: 16 Austin Lemieux - Sewickley, Pennsylvania (FR-F)",20172018,-80.1844243,40.5364846
17,Filips Buncis,FR,F/C,"Jelgava, Latvia",Arizona State,jelgava latvia,"Arizona State: 17 Filips Buncis - Jelgava, Latvia (FR-F/C)",20172018,23.7213541,56.6511091
18,Anthony Croston,JR,F,"Phoenix, Arizona",Arizona State,phoenix arizona,"Arizona State: 18 Anthony Croston - Phoenix, Arizona (JR-F)",20172018,-112.0740373,33.4483771
21,David Norris,SR,F,"Calgary, Alberta",Arizona State,calgary alberta,"Arizona State: 21 David Norris - Calgary, Alberta (SR-F)",20172018,-114.0708459,51.0486151
22,Jake Clifford,JR,F/D,"Brecksville, Ohio",Arizona State,brecksville ohio,"Arizona State: 22 Jake Clifford - Brecksville, Ohio (JR-F/D)",20172018,-81.62679039999999,41.31977630000001
24,Liam McGing,JR,D,"Chicago, Illinois",Arizona State,chicago illinois,"Arizona State: 24 Liam McGing - Chicago, Illinois (JR-D)",20172018,-87.6297982,41.8781136
26,Max Balinson,FR,D,"Ancaster, Ontario",Arizona State,ancaster ontario,"Arizona State: 26 Max Balinson - Ancaster, Ontario (FR-D)",20172018,-79.98728349999999,43.2177791
29,Jakob Stridsberg,JR,D,"JonkA?ping, Sweden",Arizona State,jonkaping sweden,"Arizona State: 29 Jakob Stridsberg - JonkA?ping, Sweden (JR-D)",20172018,14.1617876,57.78261370000001
31,Ryland Pashovitz,JR,G,"Saskatoon, Saskatchewan",Arizona State,saskatoon saskatchewan,"Arizona State: 31 Ryland Pashovitz - Saskatoon, Saskatchewan (JR-G)",20172018,-106.6700458,52.1332144
32,Louie Rowe,JR,F,"East Lansing, Michigan",Arizona State,east lansing michigan,"Arizona State: 32 Louie Rowe - East Lansing, Michigan (JR-F)",20172018,-84.48386540000001,42.7369792
33,Mike DePhillips,FR,G,"Summit, New Jersey",Arizona State,summit new jersey,"Arizona State: 33 Mike DePhillips - Summit, New Jersey (FR-G)",20172018,-74.3646122,40.7146376
35,Joey Daccord,SO,G,"Boston, Massachusetts",Arizona State,boston massachusetts,"Arizona State: 35 Joey Daccord - Boston, Massachusetts (SO-G)",20172018,-71.0588801,42.3600825
